emd_nm,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01
삼도1동,71078500.0,68419050.0,73542800.0,66869550.0,68054150.0,72919400.0,87997000.0,84322600.0,70970500.0,66964900.0,66904150.0,73518900.0,70912250.0,69023300.0,67585050.0,62998400.0,65460900.0,68266500.0,81298700.0,79567550.0,72046850.0,60155000.0,58742500.0,64189500.0,70070100.0,61990800.0,63840650.0,56606000.0,62806100.0,58721055.0,68090950.0,66153800.0,53852800.0,54576750.0,53469800.0,57201600.0,55008750.0,43495350.0,50034650.0,51074200.0,57099250.0,59222300.0
삼도2동,39820100.0,36785950.0,40787200.0,37846950.0,38050900.0,41411150.0,51910050.0,48277350.0,42080450.0,40283000.0,39478300.0,43280150.0,40432400.0,40530650.0,40510300.0,38799550.0,39018000.0,43205150.0,48782500.0,46484250.0,40115250.0,34224250.0,35060900.0,35540150.0,33954800.0,31296400.0,31831100.0,29979550.0,35372900.0,37503450.0,39410400.0,38042250.0,30701050.0,30367250.0,30242650.0,31214650.0,28184650.0,26655750.0,24801600.0,23157600.0,24945700.0,24066500.0
삼양동,102218000.0,96713450.0,102398050.0,92406800.0,97071900.0,104939850.0,132845050.0,121738500.0,103698750.0,95545200.0,97723950.0,106564050.0,102886400.0,100438200.0,98265650.0,91513250.0,101518950.0,109558700.0,127378250.0,118668400.0,108093245.0,92665885.0,93866750.0,102451450.0,108895450.0,103103700.0,109838850.0,95539210.0,104476200.0,89653250.0,110306150.0,110548100.0,88975450.0,86136310.0,84711750.0,97844950.0,94467640.0,80428320.0,87197200.0,84829840.0,93122870.0,96172500.0
서홍동,47230450.0,45843500.0,48582800.0,44080700.0,44875250.0,45915250.0,53264700.0,52265950.0,48260450.0,46832100.0,45646500.0,49404600.0,40390200.0,23934350.0,14023750.0,13657550.0,38787050.0,44145400.0,52257450.0,52004550.0,46899350.0,42088700.0,43400700.0,44950900.0,43321100.0,40153050.0,42033800.0,37353700.0,39287850.0,39029650.0,40746100.0,56296100.0,47293500.0,43249150.0,35093100.0,40146100.0,42811500.0,42488650.0,43048550.0,39314300.0,38265400.0,29767600.0
성산읍,11343100.0,10137100.0,13681050.0,14115500.0,14259700.0,14160700.0,15918350.0,16154350.0,13481700.0,13774800.0,13387450.0,15630200.0,40014154.0,46043704.0,50507700.0,55663526.0,58067944.0,57757046.0,62051614.0,63509160.0,49593693.0,51296900.0,47126600.0,47381500.0,53259250.0,43668750.0,46373628.0,42885800.0,52756684.0,58983672.0,59437456.0,82187750.0,64840500.0,65917800.0,62781150.0,58846300.0,51552400.0,54796550.0,60014350.0,63529350.0,57482500.0,85688760.0
송산동,22834700.0,22845650.0,29374600.0,31331450.0,32837750.0,31772700.0,35965550.0,33924200.0,30837000.0,30286950.0,28894450.0,29534450.0,28136200.0,16820600.0,9738800.0,11162250.0,28696250.0,32139400.0,34753550.0,33028800.0,27761100.0,25903350.0,23879300.0,24298850.0,25218900.0,22466700.0,24734100.0,27067150.0,30771900.0,31989550.0,32658300.0,30123950.0,19669000.0,17237900.0,15650900.0,18290650.0,17074050.0,17695700.0,20041950.0,22429600.0,26770600.0,31243800.0
아라동,120076450.0,113409350.0,126600400.0,120009900.0,125428550.0,131746050.0,160430750.0,150581150.0,128068300.0,121516250.0,124576750.0,134846400.0,131907350.0,125788600.0,125495000.0,116138550.0,128605265.0,129864113.0,146464000.0,141699350.0,125690350.0,111021800.0,113050500.0,120968950.0,110772750.0,117567400.0,125026900.0,111515050.0,125904100.0,112703700.0,139674450.0,141323900.0,108428100.0,105955960.0,107873600.0,119343000.0,115795850.0,104113000.0,105042100.0,94682900.0,107045700.0,112190800.0
안덕면,10007850.0,8852300.0,9981250.0,9588800.0,10540150.0,10782750.0,11881650.0,11208700.0,9638350.0,9233950.0,9171400.0,10940800.0,19138700.0,21553400.0,24666050.0,24347150.0,27228750.0,29946400.0,35578550.0,42604400.0,22078850.0,28175450.0,32506550.0,35027700.0,37625800.0,34189050.0,36068850.0,35376349.0,41537000.0,42982400.0,43152748.0,48238800.0,33174850.0,35010700.0,35431850.0,33677650.0,33522600.0,35158950.0,39511350.0,40209250.0,44037200.0,46467450.0
알수없음,8880900.0,7543950.0,9287150.0,9853350.0,10290950.0,10533050.0,11860200.0,12184350.0,9085850.0,9371850.0,9997100.0,8593600.0,5044050.0,,,,,,,,482950.0,550350.0,621300.0,828350.0,645900.0,337600.0,,,,836200.0,1372799.0,2387650.0,2010300.0,2226900.0,2088750.0,2147470.0,2057700.0,1985100.0,2153800.0,1936900.0,1910750.0,2157850.0
애월읍,7744200.0,6799950.0,8239050.0,7756850.0,7819200.0,8349500.0,9775900.0,7980150.0,6243150.0,5927500.0,6189400.0,6749250.0,6324700.0,5733100.0,6057700.0,5753700.0,7364450.0,8786950.0,9908000.0,9669800.0,8122000.0,7338950.0,15380950.0,40070100.0,58435300.0,58395800.0,66494950.0,66115500.0,80917650.0,78356550.0,104291450.0,112411340.0,84883500.0,87842750.0,89782750.0,88980300.0,84554750.0,81911700.0,90262150.0,91456441.0,103211100.0,103756400.0
연동,206889500.0,191655500.0,209706300.0,196002700.0,201843450.0,210002200.0,253462200.0,236127850.0,206187100.0,194120950.0,196586350.0,211932650.0,203753650.0,191881450.0,192251450.0,184190350.0,197044200.0,204564100.0,230929350.0,228375261.0,202175700.0,182421200.0,183488850.0,199559550.0,173357100.0,184990350.0,193495350.0,173115250.0,193430500.0,174126550.0,217649050.0,227439000.0,187614200.0,181125650.0,180737600.0,195632400.0,186455350.0,175310650.0,183660400.0,167509250.0,181776100.0,189432610.0
영천동,26620950.0,24788850.0,29111700.0,26815250.0,24046000.0,25458350.0,30305000.0,27934350.0,25920300.0,24895700.0,24418450.0,25220700.0,17198200.0,26749050.0,27313750.0,22056850.0,32714050.0,33003050.0,31923300.0,26368400.0,16944600.0,16214500.0,17172150.0,17544750.0,17786350.0,14006350.0,14617800.0,13762750.0,16905200.0,17383200.0,25272450.0,50754500.0,42076100.0,38365800.0,40903000.0,45443100.0,43607950.0,40278950.0,44995500.0,41495250.0,32951350.0,35074700.0
예래동,12408800.0,11120850.0,13505550.0,13901900.0,14295350.0,14140000.0,16477050.0,16294850.0,12324850.0,11873900.0,12548750.0,13406250.0,13382150.0,12034200.0,10722200.0,9982300.0,11338149.0,18830347.0,19188095.0,20235490.0,16327346.0,15295791.0,14201095.0,15437297.0,17346942.0,13627046.0,14309895.0,13601944.0,16806245.0,18336343.0,20849041.0,20497450.0,12611500.0,11937750.0,12130850.0,14459450.0,14789450.0,15566250.0,17300600.0,17646850.0,19494750.0,18753350.0
오라동,54526600.0,51631850.0,55909700.0,52750250.0,55474400.0,60373450.0,73072800.0,68955750.0,57673000.0,55131400.0,55900850.0,61793000.0,60950700.0,58486400.0,59515150.0,55311750.0,59584800.0,62850300.0,73058550.0,70181500.0,66121150.0,56696450.0,55212450.0,59647100.0,62218300.0,57683650.0,59354850.0,53100000.0,59632400.0,58819899.0,67532450.0,70038100.0,56426750.0,56171250.0,55021000.0,62629100.0,60085650.0,50073100.0,53931150.0,51424200.0,57321800.0,58187300.0
외도동,95864700.0,88582050.0,97356250.0,88844750.0,94064300.0,100357550.0,124292900.0,115475450.0,97489600.0,93525200.0,94443250.0,101745450.0,97317450.0,93201100.0,93075950.0,87075650.0,92812950.0,97149950.0,112283300.0,107713250.0,96168350.0,85114050.0,86091200.0,92350950.0,92336746.0,94108700.0,98399600.0,89160650.0,98045200.0,88248849.0,111732950.0,110243800.0,88884250.0,89881050.0,88486000.0,98028250.0,96402550.0,84339150.0,90926700.0,89457350.0,97421950.0,100096900.0
용담1동,40712250.0,37374350.0,42821400.0,39343900.0,39819000.0,40188250.0,48926550.0,46123400.0,41854350.0,38562750.0,38430500.0,41677600.0,39537950.0,38227350.0,37816350.0,35929200.0,35526250.0,37244900.0,41799350.0,42579500.0,38817250.0,35074400.0,35593650.0,38401950.0,39746300.0,35311750.0,35536300.0,31146900.0,34807400.0,33887649.0,36729700.0,36390400.0,31369450.0,30243500.0,28326650.0,30491200.0,28496450.0,22772750.0,25848900.0,28097300.0,33500950.0,33693350.0
용담2동,68654450.0,65950150.0,69454350.0,64687850.0,66675300.0,71688750.0,89787950.0,83612550.0,72694000.0,65808900.0,64771150.0,70913350.0,68830800.0,66050350.0,65200500.0,63115600.0,67551750.0,69787550.0,80724950.0,78100000.0,69717350.0,63211900.0,63714550.0,65067300.0,67781500.0,61018600.0,61010900.0,57175200.0,62409650.0,58453350.0,71460000.0,73913800.0,59800000.0,62033400.0,57733300.0,61444900.0,57256400.0,49429650.0,56587400.0,58446350.0,61815700.0,62862000.0
이도1동,51373100.0,47339200.0,51699300.0,46583350.0,47787850.0,52173500.0,60661400.0,55988250.0,49206600.0,47510650.0,49084700.0,49224550.0,49807950.0,43017550.0,45641600.0,42816050.0,46101700.0,47468200.0,53054350.0,51229450.0,47155800.0,44486050.0,47579550.0,49508100.0,51342000.0,45066950.0,48128850.0,43521000.0,48859650.0,43676550.0,49991500.0,47093800.0,38896900.0,37657550.0,36796500.0,37794550.0,33481750.0,28316950.0,37497450.0,39182450.0,42806500.0,28492400.0
이도2동,246651600.0,230440750.0,249276500.0,227249550.0,234533700.0,250202150.0,306877400.0,285745750.0,249370800.0,225779650.0,228491250.0,251434850.0,244881100.0,231621700.0,227260600.0,211813200.0,224717200.0,234713850.0,273172800.0,259693200.0,229571300.0,202196250.0,206554050.0,222595500.0,229944100.0,221645750.0,231274250.0,204602850.0,228796850.0,222943362.0,255052550.0,256440620.0,206499100.0,207863950.0,199985150.0,220681900.0,214562700.0,178656200.0,198242608.0,192527200.0,215882550.0,225423200.0
이호동,17513450.0,16209850.0,18059150.0,17653400.0,18423750.0,20108550.0,24586600.0,23119700.0,19464750.0,18088600.0,18173250.0,19062100.0,19278750.0,18806000.0,18573500.0,18478550.0,20127650.0,21368200.0,25321400.0,24983650.0,22081450.0,19865800.0,20064600.0,20094800.0,23302900.0,21174500.0,21279150.0,18466400.0,21388150.0,18843700.0,24443100.0,26576100.0,19857650.0,21155300.0,20030450.0,20953200.0,19924750.0,16235200.0,18808700.0,19633000.0,20363000.0,21586550.0
일도1동,21302450.0,18945550.0,21493900.0,19784300.0,19538650.0,19577700.0,20983850.0,20246750.0,20998100.0,20229300.0,20483900.0,21310550.0,21091100.0,19539750.0,20226750.0,20257050.0,20543450.0,20742350.0,21474250.0,20834500.0,18767250.0,19784150.0,19832500.0,20720650.0,22040850.0,16871700.0,17045250.0,16343050.0,18849200.0,18194950.0,19485950.0,17930600.0,17142050.0,17780350.0,18145450.0,16798950.0,15883200.0,11973600.0,18107050.0,18833000.0,18297050.0,7451200.0
일도2동,170627900.0,162109500.0,174844000.0,157261450.0,159126900.0,173428400.0,214415150.0,200952900.0,172179500.0,156822250.0,158478500.0,175021800.0,167320100.0,164367100.0,158011550.0,146303100.0,156256950.0,161594150.0,186412550.0,175443050.0,159734600.0,138858500.0,145292200.0,158402800.0,168618250.0,153378350.0,159747800.0,139834000.0,153382400.0,143034450.0,172874500.0,175090900.0,145286600.0,145502700.0,140298500.0,155449300.0,145053150.0,118399850.0,134650500.0,131462200.0,147183350.0,147438200.0
정방동,26958250.0,24809550.0,30101650.0,25834000.0,26162450.0,26452950.0,27829500.0,24580550.0,25362200.0,25386200.0,25079050.0,28103850.0,18802750.0,12873000.0,7155900.0,6699850.0,19278900.0,25376350.0,30868450.0,29941650.0,26725050.0,26476800.0,25792200.0,24014250.0,24773550.0,21198250.0,21544300.0,19841800.0,20607000.0,17835950.0,13353050.0,25730750.0,20482100.0,20256550.0,22145800.0,24757700.0,21318250.0,20680400.0,23135350.0,21122400.0,22329500.0,21580950.0
조천읍,,,,,,,,,,,,,,,,,,,,,,,3136800.0,19805800.0,33574800.0,33456300.0,41512450.0,38425250.0,47353700.0,51258650.0,69350400.0,77823096.0,55652450.0,54787850.0,51482850.0,52436150.0,53697250.0,52488300.0,59529200.0,58934750.0,58813300.0,63927750.0
중문동,52591350.0,47371550.0,51756300.0,47297550.0,48752650.0,50341800.0,60829200.0,56208150.0,48113500.0,42843400.0,41720100.0,42034050.0,43175000.0,36592800.0,30153700.0,28945500.0,41810299.0,72610590.0,74250181.0,77137792.0,66762079.0,63536085.0,63947036.0,65819186.0,69866086.0,61061781.0,63941232.0,59149528.0,65612387.0,63883576.0,63118639.0,69976499.0,59276999.0,58051000.0,55698700.0,55735800.0,54313151.0,54608900.0,60028350.0,61827300.0,68885700.0,66140250.0
중앙동,52602100.0,45550200.0,51778250.0,48810600.0,45195100.0,45387950.0,49115250.0,45654250.0,42530750.0,44238500.0,43884250.0,46756350.0,42683800.0,30231600.0,21994900.0,19401000.0,35140600.0,32611450.0,58491700.0,60424950.0,57634900.0,53181250.0,54153800.0,59806750.0,58053400.0,50037600.0,51396000.0,47551400.0,49194500.0,43100800.0,40851800.0,48010450.0,44658750.0,41457850.0,43013250.0,43377950.0,39760550.0,41363750.0,45449200.0,43809700.0,39221700.0,41422700.0
천지동,38935950.0,31681900.0,35449800.0,30094800.0,30358500.0,30984500.0,34939200.0,31539700.0,29821150.0,29502550.0,30431850.0,33451950.0,23783950.0,12016050.0,8607950.0,6741500.0,23980550.0,31186600.0,40244150.0,39771150.0,38101350.0,36603200.0,38178700.0,40600150.0,41595800.0,38546400.0,38935750.0,35160350.0,39646300.0,37713450.0,12355100.0,35774650.0,33188300.0,30162250.0,31433750.0,29137100.0,27231750.0,28012700.0,32971750.0,31792150.0,27860850.0,31676600.0
표선면,12716050.0,12179050.0,14019100.0,12664250.0,13883650.0,11408250.0,14408100.0,14854050.0,11215400.0,11938300.0,14475350.0,14665050.0,20991050.0,14571100.0,18216400.0,20965700.0,28076437.0,28636832.0,31228127.0,30137218.0,24986098.0,25509020.0,26473950.0,25286650.0,24304300.0,22631468.0,24271100.0,24914300.0,30647673.0,40698877.0,49662971.0,37489864.0,33151850.0,32658650.0,34208100.0,29948950.0,27386150.0,28420550.0,34260000.0,38444700.0,36223050.0,42453750.0
한경면,,,,,,,,,,,,,,,,,,,,,,,877750.0,3832350.0,11322700.0,11589200.0,14581450.0,14346100.0,18264400.0,17065400.0,22484050.0,26330500.0,19161200.0,18672150.0,19279000.0,18862000.0,17767250.0,17276700.0,21007400.0,22908150.0,26927600.0,27060150.0
한림읍,,,,,,,,,,,,,,,,,,,,,,,2279550.0,31493650.0,49632850.0,46197050.0,52561750.0,52242650.0,61167800.0,55895800.0,74343450.0,80336450.0,70032800.0,73234800.0,70548650.0,65998800.0,60314250.0,60052534.0,69780550.0,73755600.0,79295550.0,82746990.0
화북동,114334400.0,105830050.0,114024100.0,105834250.0,107752200.0,114111850.0,142231050.0,130959050.0,112172300.0,103716450.0,104840400.0,116152300.0,110709600.0,108215250.0,105681200.0,98866950.0,109625250.0,116664200.0,134815950.0,130354050.0,117706750.0,101150900.0,104822800.0,113107650.0,119860500.0,114810400.0,119211150.0,105266900.0,117300450.0,116089950.0,127929850.0,126103400.0,100829150.0,101544850.0,98963800.0,110165700.0,106196950.0,79066250.0,101663700.0,99636900.0,109316800.0,110750050.0
효돈동,19263950.0,19280850.0,14384750.0,8599500.0,11165100.0,12232450.0,14879900.0,14908750.0,15811400.0,14719850.0,14706700.0,14628550.0,12324350.0,11880900.0,11991150.0,12001650.0,14026200.0,4684100.0,3888150.0,4501400.0,3830650.0,3985050.0,3928600.0,4291900.0,3431850.0,3685450.0,3641900.0,3389450.0,3591550.0,3550000.0,9383500.0,30956250.0,27372150.0,25263300.0,27011600.0,26823800.0,26069950.0,26128400.0,26845400.0,25200200.0,21724850.0,27554100.0
