emd_nm,date,em_cnt,em_g,pay_amt,resd_pop_cnt내국인남성제주,resd_pop_cnt내국인여성제주,visit_pop_cnt내국인남성그외,visit_pop_cnt내국인남성제주,visit_pop_cnt내국인여성그외,visit_pop_cnt내국인여성제주,work_pop_cnt내국인남성그외,work_pop_cnt내국인남성제주,work_pop_cnt내국인여성그외,work_pop_cnt내국인여성제주,resd_pop_cnt장기해외제주,visit_pop_cnt장기해외그외,visit_pop_cnt장기해외제주,work_pop_cnt장기해외그외,work_pop_cnt장기해외제주,visit_pop_cnt단기해외,foreign_pop남성,foreign_pop여성,resid_reg_pop남성,resid_reg_pop여성,total_pop남성,total_pop여성,use_amt간식,use_amt농축수산물,use_amt마트/슈퍼마켓,use_amt배달,use_amt부페,use_amt식품,use_amt아시아음식,use_amt양식,use_amt주점및주류판매,use_amt패스트푸드,use_amt한식
외도동,2019-02-01,40796,93201100,2785911,2025552.496,2153183.247,328667.1809,1116341.341,294879.9529,1024405.087,15102.032,109625.6086,12029.003,119811.1922,27560.3781,6724.3029,26637.7016,0,4524.0481,24880.9369,127,171,10849,10608,10976,10779,132744758,143444538,1541811596,32968934,5987209,465561360,167261584,91080550,27243486,175324223,1326059136
외도동,2019-03-01,42783,93075950,2781648,2136849.261,2239288.867,286938.5246,1362829.715,249803.7839,1209603.672,9768.6612,114419.5417,8681.4654,125193.63,30610.6798,11920.5561,32745.7745,0,2061.5494,25879.1312,130,174,10853,10621,10983,10795,133880228,165710806,1625914370,38137829,7215440,483032204,176747475,84317040,33505235,179381204,1559672825
외도동,2019-04-01,42723,87075650,2601705,2006097.018,2150220.813,275026.3053,1176698.204,223287.282,1092057.702,22124.4281,209405.2305,15544.9961,117089.4977,30802.2967,13583.9152,22698.4824,1571.2365,280.0437,22073.5824,130,169,10856,10639,10986,10808,120178242,156857839,1583674619,35389766,4922970,473771121,172729830,84025982,29778645,167061316,1548417295
외도동,2019-05-01,47726,92812950,2767585,2043122.319,2200608.308,277596.0289,1205369.329,237863.1327,1143975.68,21427.1424,218139.3288,10938.363,117057.5069,29192.9871,15080.642,28332.0491,2279.5288,0,29085.8768,129,169,10864,10664,10993,10833,137911049,161243795,1657530396,47517334,4058100,550119192,218860848,103583421,25932762,174156667,1680921093
외도동,2019-06-01,50593,97149950,2901907,1950065.697,2114762.113,276101.234,1144962.955,252472.9215,1063497.375,20840.6759,217624.8606,3612.4198,124858.3824,26614.8356,21259.522,31080.0878,0,781.9,26174.7932,129,163,10879,10692,11008,10855,117722685,124930968,1620199230,50806194,8815596,524685276,175808565,84944494,27468327,177618029,1537858179
외도동,2019-07-01,56477,112283300,3354354,2007213.741,2224446.921,346640.9107,1209797.496,294736.9254,1167000.355,24056.5559,170511.7456,12345.8094,120085.0264,33895.9555,14524.0805,34098.2644,646.4067,794.5529,33231.5051,128,166,10904,10725,11032,10891,116206038,182846872,1751913130,61928827,4107165,596861629,184539120,94500169,33783490,191294759,1610070347
외도동,2019-08-01,57207,107713250,3217145,2015355.025,2247416.371,292903.7707,1230384.33,270111.8428,1154825.902,18891.2561,156151.2309,10022.7429,123328.7089,33356.0385,19071.6032,32034.6563,0,1024.5684,33044.4283,127,169,10911,10752,11038,10921,127945899,167291514,1719951986,65045652,8755318,671159060,195156003,95127423,28665406,197786696,1750107016
외도동,2019-09-01,52843,96168350,2871861,1951495.841,2170607.115,289821.2375,1300560.823,247834.8054,1184226.215,22884.9794,162713.4979,6289.4076,103799.5242,37582.4835,12664.1938,35155.1063,0,2455.2621,27948.3607,124,171,10906,10754,11030,10925,125937504,247099405,1735448450,69723813,6419448,657333837,173442528,69115963,28431144,173760200,1430925100
외도동,2019-10-01,49311,85114050,2541051,2039660.736,2259635.945,280455.8543,1315093.482,240112.1811,1251694.729,24860.416,201307.646,10601.0961,144052.3437,38411.1663,11296.274,32440.909,641.1155,1714.5243,31775.341,123,178,10927,10767,11050,10945,129955619,203032244,1619845833,75292927,9539040,560977509,185539734,78321125,28950660,156951123,1698416914
외도동,2019-11-01,45676,86091200,2571381,2036740.24,2169572.893,304064.5564,1213212.782,249317.9575,1156072.954,24132.5947,219796.875,8977.2941,137513.8283,36391.6083,18979.9104,32661.0999,195.3941,3419.0659,30404.6514,121,179,10943,10777,11064,10956,125260262,142979121,1509641657,86921369,7973082,483268398,177430734,88068461,34635198,164899266,1677200314
외도동,2019-12-01,44655,92350950,2759384,2097022.664,2258586.27,321837.9471,1279846.878,277535.3368,1171230.742,28403.1163,217008.9331,10151.2156,156932.1543,47575.1904,11275.7079,38724.2886,185.5311,1207.4246,28457.7066,125,182,11002,10799,11127,10981,142934305,228568356,1739059476,99180128,12519135,578819322,221420130,104635695,39391835,199841478,1736784539
외도동,2020-01-01,41858,92336746,2759670,2126798.646,2293458.802,405925.6007,1282409.943,379094.6851,1188729.451,22465.6428,156347.2795,13808.3747,130264.003,47015.0006,14036.814,34816.2392,0,1317.8715,27678.284,130,186,10958,10784,11088,10970,132457532,194275519,1670998864,112103574,6857460,612365364,169270377,93024449,32845530,164504070,1537801802
외도동,2020-02-01,43481,94108700,2812395,2057870.572,2281287.253,290104.423,1217502.894,211778.7587,1127856.294,22752.6183,109614.6589,16917.8137,116753.9454,52585.626,11646.5805,31370.8814,0,5817.274,7966.0163,126,183,10943,10814,11069,10997,115723530,180287868,1485013522,119794805,4032765,550685923,157555828,76911483,34178760,162581663,1362206420
외도동,2020-03-01,48054,98399600,2940074,2220415.95,2456481.093,221062.9244,1143338.559,194108.6538,1046590.918,20168.4998,115404.0736,19293.0062,132837.6641,62487.6857,6635.3108,22114.2046,131.724,523.179,3822.5219,119,184,10942,10831,11061,11015,128040025,197891250,1668163040,153233355,109500,640867700,143968000,60924580,35809000,173134300,1422547675
외도동,2020-04-01,45059,89160650,2663518,2079668.087,2297662.138,200150.7188,1144534.706,137772.6481,1052769.639,20064.9996,107218.7173,27401.7983,113093.4073,52864.2226,5581.2422,24222.6969,0,2429.9025,1255.2031,120,185,10964,10841,11084,11026,124542742,185189219,1521757051,148423871,2519880,598644410,181778476,80877209,39230686,170040692,1564964060
외도동,2020-05-01,50993,98045200,2928697,2122940.173,2334376.001,235337.1115,1202657.103,193137.934,1076204.345,31290.8559,119221.3593,14721.2182,127302.4104,48596.6024,10175.5896,23988.384,0,4341.1345,46.5583,116,185,10990,10876,11106,11061,137682718,231503696,1679747913,158074142,10419801,758312420,207812458,101097994,46078403,188596558,1844952456
외도동,2020-06-01,46765,88248849,2635421,2018218.862,2208416.517,244444.2087,1258354.073,193628.7749,1063897.061,20053.3786,132533.525,13455.9106,126960.0838,40599.6171,8680.3359,25009.0479,438.3878,2866.4867,367.8824,116,186,10996,10866,11112,11052,134266583,219052236,1588990514,175337743,6189056,573671986,186308352,69486443,38822912,164336770,1607250120
외도동,2020-07-01,59199,111732950,3337129,2021970.609,2258852.847,289091.9887,1213797.462,245096.3281,1050358.487,37005.3208,217457.847,22575.01,138766.4557,45420.5668,13415.1152,19002.7563,649.9494,1705.8179,394.3085,116,181,11023,10913,11139,11094,132637745,168542250,1669588737,197990256,2622368,615826326,190683870,75811162,39055061,163724838,1700863805
외도동,2020-08-01,58718,110243800,3292663,2007282.153,2292069.762,310452.4485,1181685.178,258996.5485,1041790.362,34857.9328,169551.7064,15823.4802,144051.981,37584.4321,11147.9223,18431.6765,341.3865,4183.2693,371.982,114,183,11024,10903,11138,11086,141485480,208320535,1796966099,242940219,5752327,706425667,201060206,90206505,36576357,193710854,1793657224
외도동,2020-09-01,51461,88884250,2653673,1915040.307,2186625.873,232914.5441,1186102.355,178650.4293,1062745.096,36832.5879,154644.3895,23430.7793,130911.3351,34224.8479,7253.5007,18428.9517,0,4624.0911,480.1196,119,183,11031,10910,11150,11093,156633918,319049875,1919953628,253716249,,811748182,169069767,78220302,35894274,163549537,1559721144
외도동,2020-10-01,49949,89881050,2684024,2022626.02,2248901.758,273687.5296,1235191.12,212635.0213,1076626.336,31011.5684,146807.7012,17122.7136,127532.1606,37335.5157,8455.906,18512.0293,0,5447.3172,196.1717,115,183,11040,10917,11155,11100,141579222,191917636,1751948791,266068526,1704641,563650568,202823597,86777059,46620125,161953821,1732461871
외도동,2020-11-01,45238,88486000,2643334,2023969.84,2233940.05,281984.2019,1238321.257,232635.5102,1156671.823,19756.9888,183667.6973,11501.471,140624.1543,43702.3694,8546.3672,20582.7088,0,1541.2776,107.5427,117,182,11057,10957,11174,11139,127704157,207264140,1716912267,264414070,5410161,560703380,168782748,73789859,37301353,161672959,1593189754
외도동,2020-12-01,46892,98028250,2929223,2236251.431,2471539.584,245669.1603,1167135.536,177165.2729,1102903.462,30720.6128,183605.5113,23831.841,158929.5493,46402.5581,8994.2204,21694.434,0,1500.6425,545.4853,116,182,11059,10996,11175,11178,145395240,307369373,1905094446,364733169,1263904,691971045,148163915,58892384,21603108,150786946,1238742885
외도동,2021-01-01,45127,96402550,2880875,2369440.369,2622590.478,235410.0726,1135145.261,166512.6869,1065480.835,40273.8158,135146.2568,13580.4314,151813.6346,49966.2768,4692.8463,23931.0233,0,1341.4095,17.8521,113,179,11078,11013,11191,11192,130277241,231814639,1928407126,411702033,,657744338,149955099,55464057,14120436,152701488,1102312752
외도동,2021-02-01,39492,84339150,2520317,2047176.72,2257931.694,250157.8779,1083902.534,197650.2639,1018237.817,26756.28,105612.8177,13543.0047,120413.4658,37338.6507,6666.0136,20938.4593,0,3219.6093,17.8133,111,176,11061,10997,11172,11173,118960652,317246364,1624124393,380488244,326370,587830827,153067860,71780263,29215428,130437691,1256381479
외도동,2021-03-01,43893,90926700,2716943,2147589.309,2324949.547,252539.5025,1301007.174,188818.725,1172757.017,25295.9276,120484.3766,12833.5719,124329.6852,41209.9585,6742.8753,20637.8532,0,2946.9641,222.483,110,177,11027,10976,11137,11153,135311322,260489880,1698674528,417220911,1983573,616434375,180557317,75415946,37794523,141847511,1474330803
외도동,2021-04-01,45171,89457350,2672512,2021891.119,2195301.703,249769.3027,1159466.999,218540.1875,1069482.863,25415.7944,201934.4355,5567.0905,149318.7189,35458.3648,7720.6685,20472.9809,0,2458.4112,41.5133,98,173,11021,10961,11119,11134,120694846,287219349,1655118781,411746430,5928047,611546595,174092828,76251640,36710856,136733440,1536397010
외도동,2021-05-01,50516,97421950,2910028,2124141.917,2322875.352,258946.9817,1158063.76,229876.0249,1093362.342,24319.3357,174095.7279,9975.958,143520.2415,37970.6033,7343.6115,23504.9062,0,3282.9347,298.6978,100,176,11045,10986,11145,11162,127219343,289801528,1775974889,473266374,3829392,687896851,170231191,89052983,34975584,155009982,1500973891
외도동,2021-06-01,53226,100096900,2989654,2000531.896,2232192.472,260495.1237,1174598.084,215803.8972,1071786.521,14301.8945,145144.8238,11433.6687,130691.5359,40447.3265,11448.9234,18084.2051,0,2793.4804,151.4108,98,176,11061,11025,11159,11201,126058666,294050687,1661531584,474992490,2677922,712081306,145721165,46001589,26683144,123434491,1381844016
아라동,2018-01-01,51381,120076450,3565424,10638642.19,11612437.44,1314678.906,3126947.655,1190767.143,2958147.099,113470.4995,1238805.875,87715.105,1405568.351,794899.7458,51604.7576,77953.5393,28217.1865,31093.8484,29959.1852,488,507,15129,15343,15617,15850,193745493,306863781,1984120741,25247956,16722969,585600618,232180643,127865459,24875042,207279874,1925810813
아라동,2018-02-01,47792,113409350,3383674,9621688.154,10448986.71,1122992.419,2839831.242,1022413.058,2782628.011,91074.1879,963537.9903,75093.8512,970810.8563,594328.4669,53345.4047,46884.2501,26627.8539,23230.174,30298.9226,484,496,15386,15607,15870,16103,193842069,357802781,1970716382,23446455,4025448,689367979,206307144,109081832,22031895,186613843,1729687570
아라동,2018-03-01,56005,126600400,3777257,10474245.3,11713299.14,2109490.968,5002723.113,1886715.561,5939060.488,190597.7128,1156206.497,120415.7345,1226423.576,890194.4477,147657.0539,109768.2955,27754.0884,28473.0209,59371.67,541,550,15638,15822,16179,16372,203778628,238016610,2104903134,28886905,5232912,582668071,266923678,154692515,26819904,219617388,2171980185
아라동,2018-04-01,57187,120009900,3581667,11806145.31,12830005.32,1128026.558,3671407.487,1093577.555,3702414.167,98613.0973,2191687.393,113504.2724,3323904.042,982960.8575,101770.6968,88603.8237,17117.4921,26692.9092,41206.7414,533,532,15783,16033,16316,16565,198178439,279316799,2103259778,30214089,23588272,604006170,274224264,144907715,23709792,217105152,2127640354
아라동,2018-05-01,62967,125428550,3743371,12214164.69,13318761.45,1246404.845,3759722.897,1093290.199,3589839.344,140034.4182,2083297.58,120527.8205,3243093.136,1069708.014,76354.4655,98702.486,32394.903,20271.2928,41761.0777,538,533,15913,16113,16451,16646,215950636,284176408,2210045515,33047637,9977220,625779451,323308311,150711368,28325880,226268959,2425342979
아라동,2018-06-01,66807,131746050,3930825,11858973.19,12919927.69,1107598.52,3478699.709,1039079.398,3445709.96,159210.7995,1827972.324,130327.3518,2892016.583,1013671.942,93721.5163,85940.3872,37786.6045,27669.3763,58670.1003,534,535,16038,16234,16572,16769,183620393,287238697,2145020816,36367691,11170822,659530162,282728351,148737596,29539224,236245251,2264644893
아라동,2018-07-01,80137,160430750,4786506,11390831.36,12400747.36,1457797.784,3329394.661,1400741.917,3135450.638,100479.9628,1555821.815,138630.7052,2306745.581,925364.2552,94530.3344,68233.7717,30117.1309,16638.936,60226.6713,533,533,16196,16387,16729,16920,208801079,300721809,2371653641,33917806,22061052,670796295,297118128,155114841,26923988,252953317,2353709410
아라동,2018-08-01,77120,150581150,4492184,11642190.64,12696272.34,1503545.596,3596507.944,1390784.721,3622640.969,131188.8167,1442649.061,95271.5707,2012741.588,865846.1886,91218.3648,66857.383,28545.4614,23559.3592,75553.2144,530,518,16305,16458,16835,16976,214000604,323678830,2438216434,40564068,12423112,697974829,320187236,172930826,31943028,276393641,2428987035
아라동,2018-09-01,70843,128068300,3818254,11212837.62,12167874.62,1561043.589,3861958.639,1447657.911,4017780.875,155653.9949,1353508.295,186525.1685,2037915.933,849231.2551,103054.918,93098.224,36624.3892,21763.4473,76632.0833,588,629,16372,16514,16960,17143,228927868,399395409,2444385856,42304463,9453223,710226100,263905135,163793247,28430128,243911861,2236568143
아라동,2018-10-01,65156,121516250,3624567,12671770.76,13684258.78,1196722.099,3907033.996,1029464.591,3845756.295,142472.7711,1765714.812,113878.7704,2805178.014,1023879.828,108367.0471,77145.8873,11251.5105,29634.7665,63811.8245,606,624,16418,16563,17024,17187,221951617,237471955,2128470565,45493617,8461264,597492860,263633920,162271413,27470543,243172056,2268506963
아라동,2018-11-01,61326,124576750,3715865,12287640.33,13211398.9,1151437.223,3644006.357,997635.2334,3623130.684,122430.2396,1852931.341,122620.8382,2771655.923,1058698.402,81036.8196,83906.1328,22524.0937,20575.1012,75325.7327,608,630,16484,16603,17092,17233,224245588,315594602,2104581553,51403393,12848252,552393850,280591942,141809614,32520828,235012337,2295294312
아라동,2018-12-01,60275,134846400,4024785,12407192.85,13361418.4,1173564.539,3213786.055,998108.5924,3098402.112,124827.494,1597929.141,129635.0691,2253568.659,1054786.027,91559.6883,75689.8555,25293.3388,16089.5857,60870.262,607,615,16475,16624,17082,17239,248043364,312808104,2333624638,69291622,11049401,658261314,272932126,177246932,40473392,280594527,2524486227
아라동,2019-01-01,58479,131907350,3935919,11750863.09,12748635.98,1401934.828,3247692.725,1247708.463,3039327.112,159047.7577,1153031.266,90166.2651,1386343.223,932630.9436,82454.9296,96345.5336,7043.3597,17461.621,48145.4219,600,607,16621,16726,17221,17333,233952796,381706332,2185410971,66632813,14406926,677180098,306883922,158923663,35176299,275602001,2411534566
아라동,2019-02-01,54591,125788600,3755337,10456193.36,11237600.02,1321429.824,2885607.206,1117996.029,2777971.934,126352.4006,917867.1356,89227.9271,935260.2347,717661.1907,80718.0234,77359.3816,4592.1253,14023.3081,68537.8374,581,593,16665,16828,17246,17421,220876105,293290577,1955302788,72520153,7665217,616070429,262299712,145089460,34996225,247387018,2123620531
아라동,2019-03-01,57211,125495000,3744438,11432857.32,12464597.02,2116729.861,4753489.657,2004617.711,5612831.773,227461.1122,1119472.786,152351.2452,1121740.336,916280.1572,167034.7222,118469.3646,8186.3496,18369.3363,87191.8022,649,657,16694,16872,17343,17529,259539701,242739921,2204349809,75493625,12092225,707890879,314146967,147990505,40695425,260097983,2491390515
아라동,2019-04-01,56440,116138550,3463430,12411505.2,13499638.56,1094887.139,3709231.743,924866.5995,3600727.246,150700.622,2037601.051,128414.9788,3122828.763,911320.9892,151881.5869,87537.8643,25880.6815,26791.5102,70803.397,633,643,16756,16931,17389,17574,235817363,330673086,2001890993,81011889,12137225,606870069,274623516,136469976,46372755,247538545,2339848043
아라동,2019-05-01,64629,128605265,3813658,12508846.15,13625238.53,1255509.097,3679804.348,1109136.633,3492589.621,168302.9149,1991788.159,192664.3758,3082695.658,1029201.745,111433.8242,94558.2175,29171.6362,23908.7019,59199.0723,626,634,16823,16976,17449,17610,242406596,312560877,2139198050,94007945,7970409,680640817,323900618,157052000,52626042,250953356,2604304615
아라동,2019-06-01,66456,129864113,3873117,11961855.44,12989420.85,1311709.606,3373172.436,1083675.88,3351182.218,155941.9318,1686304.734,193198.4669,2708566.549,997563.648,102278.0225,101361.1258,31058.0227,18875.6478,65849.7578,620,625,16865,17023,17485,17648,218333799,283024621,2162644406,108807103,8118204,634457036,293360049,145593504,48774855,251084217,2388459734
아라동,2019-07-01,73778,146464000,4366542,11543093.78,12836142.9,1692433.972,3310143.049,1374530.054,3192165.197,199171.6429,1474442.378,186469.2139,2185373.298,898019.4009,93557.0322,83653.3372,26440.2499,30639.5217,62712.5807,629,610,16971,17066,17600,17676,230429964,263518279,2311418782,120844341,10426230,695191792,285625678,150987536,51071155,274164255,2629196398
아라동,2019-08-01,73928,141699350,4223233,11593647.06,12920803.19,1550809.217,3603868.222,1325045.341,3597086.901,148938.2127,1361215.828,145674.2443,1848515.896,771440.0698,115336.7603,82669.9125,23855.7622,24087.5413,84223.9515,631,601,17066,17129,17697,17730,234364373,304368256,2411436005,147232190,16872621,720001111,330036527,186185047,59951386,283678451,2655425131
아라동,2019-09-01,68472,125690350,3747065,11233964.73,12562967.26,1589914.431,3835213.397,1454033.239,3948600.205,223717.5893,1386464.725,188046.8649,2048862.345,823846.1554,118678.173,100005.7979,20728.123,17752.5304,66090.9471,649,631,17147,17210,17796,17841,239472674,387825729,2325804833,136470972,6160896,722173515,258298488,141092190,56953008,234526272,2302812928
아라동,2019-10-01,64201,111021800,3305345,12310506.78,13678365.85,1272260.78,3685478.986,1054338.636,3566836.792,189771.0236,1745112.002,184453.9112,2688370.372,886188.5152,99206.5023,95124.6031,19284.4436,20889.758,74397.6652,640,622,17263,17329,17903,17951,244825194,301939584,2281523964,165034507,9479880,700909524,290059440,156895659,54774898,251341923,2526933342
아라동,2019-11-01,59590,113050500,3370877,11904494.85,14090484.83,1293956.593,3611007.635,1058175.493,3593835.957,164154.8318,1691224.554,181860.8682,2861924.199,802826.6945,96331.6441,101068.587,25743.5893,18925.6396,58594.9368,639,631,17310,17417,17949,18048,233938674,294543233,2159151319,176053261,7968012,596032193,282722973,146450374,64616136,234840065,2523034690
아라동,2019-12-01,58317,120968950,3606766,12125416.65,14162733.59,1352281.749,3538065.617,1155535.852,3388509.167,191692.2721,1505564.505,254280.9776,2349821.449,826870.9315,122206.9748,94218.3379,19247.1688,19808.4809,56784.2031,615,603,17352,17454,17967,18057,268811572,352300578,2353403696,196922215,9827745,661493945,307314096,196517939,67550233,265348296,2854119916
아라동,2020-01-01,50934,110772750,3303545,11552859.6,13363419.42,1585068.851,3260103.168,1477367.728,3023043.13,195920.1254,1105863.76,177600.6923,1265884.975,727035.1309,82911.8167,73575.5108,11417.6228,32616.8271,46608.7351,617,601,17365,17514,17982,18115,248470164,366844275,2481184461,208713364,8204880,781651765,286265958,184029074,64010610,247759122,2403590240
아라동,2020-02-01,55782,117567400,3502877,11035014.67,12877096.2,1401611.93,3043327.43,1287472.168,2848990.36,245340.2486,1028343.511,244461.671,897518.1767,670612.6868,117214.6898,105804.5375,13863.73,15371.2389,21031.7711,603,583,17399,17556,18002,18139,211416167,278093164,2234460905,219417621,4245615,622513094,230136242,156047951,48871845,244301315,2126037336
아라동,2020-03-01,63040,125026900,3726467,12520571.56,14643682.78,1393074.404,3068645.33,1112124.329,2821832.672,238221.9921,1136293.3,170387.1492,948844.852,788247.7576,108208.5332,84646.5683,18245.4496,23539.22,11423.8899,596,563,17404,17604,18000,18167,249913175,283047580,2398840010,270227700,2475000,736057700,241098500,130708950,55147000,254824150,2217446115
아라동,2020-04-01,58275,111515050,3323313,12416391.9,14280542.26,1098173.642,3047166.541,815541.8742,2833159.891,207219.2405,1064022.34,126001.4692,861635.4212,800775.3247,131367.1699,93763.5076,8005.0146,31303.3726,6895.87,571,512,17486,17658,18057,18170,259608136,317287886,2353929009,273148495,1592888,750710103,281345867,164407411,63853152,261904286,2425120874
아라동,2020-05-01,66911,125904100,3751985,12741773.16,14382338.71,1204349.335,3233805.095,1048519.439,3216249.849,165760.8306,1041428.313,121402.1184,878560.766,816593.347,93233.577,74053.5588,5980.2101,25870.7319,957.9902,563,506,17556,17725,18119,18231,271808719,416178779,2655830418,258472482,4888737,852915263,347005587,210753710,78675093,290807442,3010221893
아라동,2020-06-01,60043,112703700,3357659,12054577.14,13928217.57,1245388.494,3610679.484,1126735.198,4300340.617,156322.7818,1169644.804,153119.4176,1175792.308,756306.0475,83676.4138,72987.6,7022.8533,24622.1417,819.4759,560,501,17639,17821,18199,18322,252134328,345412788,2396974762,276881754,4646912,762202827,293237555,199485507,76678656,252850176,2549816100
아라동,2020-07-01,74456,139674450,4159469,12189636.92,14229607.73,1302859.068,3282177.617,1220880.996,3703107.246,262848.6219,1611149.149,230502.821,2254575.419,749318.6849,75900.3642,86191.7534,3726.5715,23478.5906,1644.5603,552,491,17681,17830,18233,18321,254537031,316540537,2337470215,317531294,6387441,686673125,282482071,200789502,72785473,245150840,2852007846
아라동,2020-08-01,74924,141323900,4216737,12357080.7,14223801.67,1396430.982,3150505.357,1260884.856,3050404.551,204233.0407,1288480.566,194743.4973,1698284.298,722942.6128,68050.3652,86412.7583,11910.3484,27921.9072,7024.5592,545,472,17889,18048,18434,18520,253542717,340399757,2625766502,399646989,9032947,858679754,304765663,228152534,79294936,283828104,2753415811
